Date,Open,High,Low,Close,AdjClose,Volume
16-06-2016,17602.23047,17754.91016,17471.28906,17733.09961,17733.09961,91950000
17-06-2016,17733.43945,17733.43945,17602.7793,17675.16016,17675.16016,248680000
20-06-2016,17736.86914,17946.35938,17736.86914,17804.86914,17804.86914,99380000
21-06-2016,17827.33008,17877.83984,17799.80078,17829.73047,17829.73047,85130000
22-06-2016,17832.66992,17920.16016,17770.35938,17780.83008,17780.83008,89440000
23-06-2016,17844.10938,18011.07031,17844.10938,18011.07031,18011.07031,98070000
24-06-2016,17946.63086,17946.63086,17356.33984,17400.75,17400.75,239000000
27-06-2016,17355.21094,17355.21094,17063.08008,17140.24023,17140.24023,138740000
28-06-2016,17190.50977,17409.7207,17190.50977,17409.7207,17409.7207,112190000
29-06-2016,17456.01953,17704.50977,17456.01953,17694.67969,17694.67969,106380000
30-06-2016,17712.75977,17930.60938,17711.80078,17929.99023,17929.99023,133030000
01-07-2016,17924.24023,18002.38086,17916.91016,17949.36914,17949.36914,82160000
05-07-2016,17904.44922,17904.44922,17785.2793,17840.61914,17840.61914,103650000
06-07-2016,17807.4707,17926.91016,17713.44922,17918.61914,17918.61914,93000000
07-07-2016,17924.24023,17984.94922,17816.65039,17895.88086,17895.88086,81570000
08-07-2016,17971.2207,18166.76953,17971.2207,18146.74023,18146.74023,93460000
11-07-2016,18161.5293,18283.90039,18161.5293,18226.92969,18226.92969,80880000
12-07-2016,18259.11914,18371.94922,18259.11914,18347.66992,18347.66992,90170000
13-07-2016,18356.7793,18390.16016,18315.75977,18372.11914,18372.11914,80920000
14-07-2016,18414.30078,18537.57031,18414.30078,18506.41016,18506.41016,87050000
15-07-2016,18508.88086,18557.42969,18471.61914,18516.55078,18516.55078,123690000
18-07-2016,18521.55078,18556.13086,18489.83984,18533.05078,18533.05078,75540000
19-07-2016,18503.11914,18562.5293,18495.10938,18559.00977,18559.00977,85840000
20-07-2016,18582.69922,18622.00977,18555.65039,18595.0293,18595.0293,93230000
21-07-2016,18589.96094,18590.43945,18469.66992,18517.23047,18517.23047,86800000
22-07-2016,18524.15039,18571.30078,18491.58984,18570.84961,18570.84961,87710000
25-07-2016,18554.49023,18555.68945,18452.61914,18493.06055,18493.06055,76810000
26-07-2016,18497.36914,18522.4707,18387.2207,18473.75,18473.75,85370000
27-07-2016,18473.26953,18542.39063,18430.93945,18472.16992,18472.16992,111370000
28-07-2016,18461.00977,18483.25977,18368.82031,18456.34961,18456.34961,85750000
29-07-2016,18442.51953,18466.55078,18371.11914,18432.24023,18432.24023,111550000
01-08-2016,18434.5,18467.0293,18355.75,18404.50977,18404.50977,83470000
02-08-2016,18401.15039,18403.65039,18247.78906,18313.76953,18313.76953,89680000
03-08-2016,18313.08008,18355,18283.23047,18355,18355,78550000
04-08-2016,18351.42969,18397.86914,18325.16992,18352.05078,18352.05078,64500000
05-08-2016,18402.80078,18543.5293,18402.80078,18543.5293,18543.5293,92420000
08-08-2016,18541.89063,18569.31055,18502.0293,18529.28906,18529.28906,71810000
09-08-2016,18538.05078,18585.32031,18507.75,18533.05078,18533.05078,60090000
10-08-2016,18541.48047,18561.75,18468.7793,18495.66016,18495.66016,62780000
11-08-2016,18519.08008,18638.33984,18519.08008,18613.51953,18613.51953,71470000
12-08-2016,18595.65039,18606.06055,18535.85938,18576.4707,18576.4707,61580000
15-08-2016,18588.58984,18722.60938,18559.92969,18636.05078,18636.05078,62350000
16-08-2016,18614.48047,18614.85938,18550.65039,18552.01953,18552.01953,67570000
17-08-2016,18537.08984,18582.34961,18468.67969,18573.93945,18573.93945,71000000
18-08-2016,18566.53906,18600.82031,18533.28906,18597.69922,18597.69922,70740000
19-08-2016,18585.16992,18585.16992,18491.24023,18552.57031,18552.57031,93170000
22-08-2016,18535.85938,18570.91992,18466.85938,18529.41992,18529.41992,73450000
23-08-2016,18568.93945,18631.59961,18545.51953,18547.30078,18547.30078,73990000
24-08-2016,18537.5,18539.15039,18448.26953,18481.48047,18481.48047,72270000
25-08-2016,18471.21094,18497.67969,18431.46094,18448.41016,18448.41016,64480000
26-08-2016,18467.91992,18572.08984,18335.33984,18395.40039,18395.40039,78730000
29-08-2016,18421.28906,18523.08984,18419.91992,18502.99023,18502.99023,64480000
30-08-2016,18491.2793,18514.28906,18408.51953,18454.30078,18454.30078,68920000
31-08-2016,18436.69922,18439.67969,18333.56055,18400.88086,18400.88086,98250000
01-09-2016,18396.57031,18430.05078,18295.48047,18419.30078,18419.30078,74780000
02-09-2016,18466.00977,18544.75977,18439.09961,18491.96094,18491.96094,74350000
06-09-2016,18493.40039,18551.53906,18450.32031,18538.11914,18538.11914,83710000
07-09-2016,18527.71094,18536.89063,18474.76953,18526.14063,18526.14063,67570000
08-09-2016,18486.68945,18506.24023,18446.68945,18479.91016,18479.91016,79060000
09-09-2016,18404.16992,18404.16992,18085.44922,18085.44922,18085.44922,120670000
12-09-2016,18028.94922,18358.68945,17994.83984,18325.07031,18325.07031,103260000
13-09-2016,18262.99023,18262.99023,18028.06055,18066.75,18066.75,102830000
14-09-2016,18073.39063,18163.48047,17992.21094,18034.76953,18034.76953,103360000
15-09-2016,18024.91016,18250.10938,18015.49023,18212.48047,18212.48047,99550000
16-09-2016,18217.21094,18217.21094,18070.21094,18123.80078,18123.80078,278510000
19-09-2016,18154.82031,18254.88086,18093.05078,18120.16992,18120.16992,78090000
